,Unnamed: 0,DATETIMEDATA,PM25,CO,NO2,TEMP,RH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
1054,1223,2024-02-20 23:00:00,23.0,0.45,3.0,30,75,21.1,25.0,21.8,20.6,20.3,24.7,25.8
1055,1224,2024-02-21 00:00:00,21.1,0.44,2.0,29,73,25.0,21.8,20.6,20.3,24.7,25.8,23.9
1056,1225,2024-02-21 01:00:00,25.0,0.37,1.0,29,73,21.8,20.6,20.3,24.7,25.8,23.9,29.1
1057,1226,2024-02-21 02:00:00,21.8,0.4,1.0,29,78,20.6,20.3,24.7,25.8,23.9,29.1,26.0
1058,1227,2024-02-21 03:00:00,20.6,0.5,5.29,29,81,20.3,24.7,25.8,23.9,29.1,26.0,25.3
1059,1228,2024-02-21 04:00:00,20.3,0.43,2.0,28,84,24.7,25.8,23.9,29.1,26.0,25.3,23.1
1060,1229,2024-02-21 05:00:00,24.7,0.44,2.0,28,85,25.8,23.9,29.1,26.0,25.3,23.1,24.5
1061,1230,2024-02-21 06:00:00,25.8,0.56,4.0,28,84,23.9,29.1,26.0,25.3,23.1,24.5,18.9
1062,1231,2024-02-21 07:00:00,23.9,0.74,10.0,29,83,29.1,26.0,25.3,23.1,24.5,18.9,18.8
1063,1232,2024-02-21 08:00:00,29.1,0.63,6.0,31,72,26.0,25.3,23.1,24.5,18.9,18.8,24.5
1064,1233,2024-02-21 09:00:00,26.0,0.52,5.0,31,69,25.3,23.1,24.5,18.9,18.8,24.5,21.8
1065,1234,2024-02-21 10:00:00,25.3,0.51,6.0,33,60,23.1,24.5,18.9,18.8,24.5,21.8,25.7
1066,1235,2024-02-21 11:00:00,23.1,0.52,6.0,35,54,24.5,18.9,18.8,24.5,21.8,25.7,22.5
1067,1236,2024-02-21 12:00:00,24.5,0.48,3.0,33,60,18.9,18.8,24.5,21.8,25.7,22.5,30.3
1068,1237,2024-02-21 13:00:00,18.9,0.5,2.0,33,61,18.8,24.5,21.8,25.7,22.5,30.3,27.7
1069,1238,2024-02-21 14:00:00,18.8,0.55,3.0,34,58,24.5,21.8,25.7,22.5,30.3,27.7,30.7
1070,1239,2024-02-21 15:00:00,24.5,0.54,8.0,33,60,21.8,25.7,22.5,30.3,27.7,30.7,31.4
1071,1240,2024-02-21 16:00:00,21.8,0.8,10.0,32,62,25.7,22.5,30.3,27.7,30.7,31.4,32.2
1072,1241,2024-02-21 17:00:00,25.7,0.7,9.0,32,64,22.5,30.3,27.7,30.7,31.4,32.2,31.0
1073,1242,2024-02-21 18:00:00,22.5,0.6,8.0,30,71,30.3,27.7,30.7,31.4,32.2,31.0,29.8
1074,1243,2024-02-21 19:00:00,30.3,0.57,8.0,30,74,27.7,30.7,31.4,32.2,31.0,29.8,30.6
1075,1244,2024-02-21 20:00:00,27.7,0.57,10.0,30,75,30.7,31.4,32.2,31.0,29.8,30.6,27.8
1076,1245,2024-02-21 21:00:00,30.7,0.54,5.0,29,76,31.4,32.2,31.0,29.8,30.6,27.8,28.3
1077,1246,2024-02-21 22:00:00,31.4,0.5,4.0,29,76,32.2,31.0,29.8,30.6,27.8,28.3,17.4
1078,1247,2024-02-21 23:00:00,32.2,0.46,2.0,29,76,31.0,29.8,30.6,27.8,28.3,17.4,23.8
1079,1248,2024-02-22 00:00:00,31.0,0.43,1.0,29,76,29.8,30.6,27.8,28.3,17.4,23.8,22.4
1080,1249,2024-02-22 01:00:00,29.8,0.43,2.0,29,78,30.6,27.8,28.3,17.4,23.8,22.4,22.3
1081,1250,2024-02-22 02:00:00,30.6,0.45,1.0,29,79,27.8,28.3,17.4,23.8,22.4,22.3,16.4
1082,1251,2024-02-22 03:00:00,27.8,0.43,0.0,29,75,28.3,17.4,23.8,22.4,22.3,16.4,22.9
1083,1252,2024-02-22 04:00:00,28.3,0.5,5.29,28,69,17.4,23.8,22.4,22.3,16.4,22.9,22.4
1084,1253,2024-02-22 05:00:00,17.4,0.45,1.0,28,73,23.8,22.4,22.3,16.4,22.9,22.4,19.1
1085,1254,2024-02-22 06:00:00,23.8,0.47,3.0,28,75,22.4,22.3,16.4,22.9,22.4,19.1,18.6
1086,1255,2024-02-22 07:00:00,22.4,0.61,9.0,29,73,22.3,16.4,22.9,22.4,19.1,18.6,22.6
1087,1256,2024-02-22 08:00:00,22.3,0.53,5.0,31,63,16.4,22.9,22.4,19.1,18.6,22.6,22.3
1088,1257,2024-02-22 09:00:00,16.4,0.53,5.0,32,58,22.9,22.4,19.1,18.6,22.6,22.3,24.2
1089,1258,2024-02-22 10:00:00,22.9,0.49,5.0,34,54,22.4,19.1,18.6,22.6,22.3,24.2,26.2
1090,1259,2024-02-22 11:00:00,22.4,0.5,5.0,34,51,19.1,18.6,22.6,22.3,24.2,26.2,23.0
1091,1260,2024-02-22 12:00:00,19.1,0.48,4.0,34,47,18.6,22.6,22.3,24.2,26.2,23.0,26.5
1092,1261,2024-02-22 13:00:00,18.6,0.5,3.0,34,49,22.6,22.3,24.2,26.2,23.0,26.5,28.9
1093,1262,2024-02-22 14:00:00,22.6,0.56,3.0,34,46,22.3,24.2,26.2,23.0,26.5,28.9,26.2
1094,1263,2024-02-22 15:00:00,22.3,0.5,5.0,36,39,24.2,26.2,23.0,26.5,28.9,26.2,28.0
1095,1264,2024-02-22 16:00:00,24.2,0.5,8.0,36,40,26.2,23.0,26.5,28.9,26.2,28.0,26.5
1096,1265,2024-02-22 17:00:00,26.2,0.57,10.0,35,46,23.0,26.5,28.9,26.2,28.0,26.5,26.4
1097,1266,2024-02-22 18:00:00,23.0,0.64,15.0,32,58,26.5,28.9,26.2,28.0,26.5,26.4,26.9
1098,1267,2024-02-22 19:00:00,26.5,0.56,11.0,30,67,28.9,26.2,28.0,26.5,26.4,26.9,20.9
1099,1268,2024-02-22 20:00:00,28.9,0.59,10.0,30,69,26.2,28.0,26.5,26.4,26.9,20.9,23.2
1100,1269,2024-02-22 21:00:00,26.2,0.51,6.0,30,71,28.0,26.5,26.4,26.9,20.9,23.2,20.6
1101,1270,2024-02-22 22:00:00,28.0,0.49,5.0,30,74,26.5,26.4,26.9,20.9,23.2,20.6,14.9
1102,1271,2024-02-22 23:00:00,26.5,0.51,6.0,30,76,26.4,26.9,20.9,23.2,20.6,14.9,18.8
1103,1272,2024-02-23 00:00:00,26.4,0.48,2.0,30,74,26.9,20.9,23.2,20.6,14.9,18.8,19.8
1104,1273,2024-02-23 01:00:00,26.9,0.41,5.29,29,73,20.9,23.2,20.6,14.9,18.8,19.8,20.0
1105,1274,2024-02-23 02:00:00,20.9,0.45,0.0,29,78,23.2,20.6,14.9,18.8,19.8,20.0,15.5
1106,1275,2024-02-23 03:00:00,23.2,0.42,5.29,29,72,20.6,14.9,18.8,19.8,20.0,15.5,20.6
1107,1276,2024-02-23 04:00:00,20.6,0.41,5.29,28,69,14.9,18.8,19.8,20.0,15.5,20.6,22.4
1108,1277,2024-02-23 05:00:00,14.9,0.5,5.29,28,72,18.8,19.8,20.0,15.5,20.6,22.4,19.5
1109,1278,2024-02-23 06:00:00,18.8,0.46,2.0,28,74,19.8,20.0,15.5,20.6,22.4,19.5,22.6
